unit_id,cell_type,region,layer,channel,depth_um,place_x_cm,place_y_cm,hd_pref_rad,rate_model,ratinabox_class,subfield,cell_class,deep_superficial_coordinate,deep_superficial_group,proximodistal_coordinate,dorsoventral_coordinate,baseline_rate_hz,burst_index,waveform_width_ms,theta_modulation_strength,ripple_participation_probability,spatial_tuning_strength,head_direction_tuning_strength,speed_tuning_strength,boundary_tuning_strength,proximodistal_group,dorsoventral_group,projection_target,metadata_schema_version
64,CA1_pyr,CA1,pyramidal,13,240.0,60.20347212874895,67.00630793391603,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
65,CA1_pyr,CA1,pyramidal,19,360.0,56.75284465179282,40.63993323278228,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
66,CA1_pyr,CA1,pyramidal,14,260.0,43.26698067349762,41.87057669347771,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
67,CA1_pyr,CA1,pyramidal,24,460.0,67.98051831916531,78.64144349492712,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
68,CA1_pyr,CA1,pyramidal,11,200.0,30.986072963912655,80.87769451873396,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
69,CA1_pyr,CA1,pyramidal,19,360.0,6.862613265666487,69.1215153640454,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
70,CA1_pyr,CA1,pyramidal,24,460.0,92.8945721604546,72.86280329325022,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
71,CA1_pyr,CA1,pyramidal,28,540.0,20.03416196182681,22.32509505763583,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
72,CA1_pyr,CA1,pyramidal,13,240.0,35.74934895158186,13.995757247203908,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
73,CA1_pyr,CA1,pyramidal,2,20.0,94.750170184074,94.99701033347058,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
