unit_id,cell_type,region,layer,channel,depth_um,place_x_cm,place_y_cm,hd_pref_rad,rate_model,ratinabox_class
171,DG_granule,DG,granule,72,1420.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
172,DG_granule,DG,granule,94,1860.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
173,DG_granule,DG,granule,95,1880.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
174,DG_granule,DG,granule,84,1660.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
175,DG_granule,DG,granule,75,1480.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
176,DG_granule,DG,granule,75,1480.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
177,DG_granule,DG,granule,82,1620.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
178,DG_granule,DG,granule,93,1840.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
179,DG_granule,DG,granule,80,1580.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
180,DG_granule,DG,granule,71,1400.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
181,DG_granule,DG,granule,91,1800.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
182,DG_granule,DG,granule,93,1840.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
183,DG_granule,DG,granule,76,1500.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
184,DG_granule,DG,granule,87,1720.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
185,DG_granule,DG,granule,82,1620.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
186,DG_granule,DG,granule,86,1700.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
187,DG_granule,DG,granule,71,1400.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
188,DG_granule,DG,granule,90,1780.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
189,DG_granule,DG,granule,78,1540.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
190,DG_granule,DG,granule,87,1720.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
191,DG_granule,DG,granule,83,1640.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
192,DG_granule,DG,granule,89,1760.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
193,DG_granule,DG,granule,74,1460.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
194,DG_granule,DG,granule,81,1600.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
195,DG_granule,DG,granule,89,1760.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
196,DG_granule,DG,granule,94,1860.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
197,DG_granule,DG,granule,82,1620.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
198,DG_granule,DG,granule,71,1400.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
199,DG_granule,DG,granule,92,1820.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
