spike_source,feature_type,decode_window_s,update_dt_s,n_units,target_name,decoder_name,n_train_samples,n_test_samples,mean_position_error_cm,median_position_error_cm,p90_position_error_cm,r2_x,r2_y,r2,correlation,mae,rmse,mean_circular_error_deg,median_circular_error_deg,p90_circular_error_deg,mae_cm,rmse_cm,accuracy,balanced_accuracy,macro_f1,confusion_matrix,class_labels
sorted,counts,0.5,0.025,200,speed,ridge,16786,7195,,,,,,0.3822581594269201,0.6288004498545489,3.244105062534867,4.074044801526461,,,,,,,,,,
sorted,counts,0.5,0.025,200,speed,random_forest_regressor,16786,7195,,,,,,0.3499090982872656,0.6012071717935072,3.34340369510112,4.1793557062336575,,,,,,,,,,
sorted,counts,0.5,0.025,200,acceleration,ridge,16786,7195,,,,,,-0.0016319635917760866,0.07579254716228837,34.80521842050734,56.79342958725589,,,,,,,,,,
sorted,counts,0.5,0.025,200,acceleration,random_forest_regressor,16786,7195,,,,,,0.0045922603591788125,0.07932060953514133,33.78259528911654,56.61669506183884,,,,,,,,,,
sorted,counts,0.5,0.025,200,head_direction,ridge,16786,7195,,,,,,,,,,18.041574747851083,15.545398842006083,37.44049906166219,,,,,,,
sorted,counts,0.5,0.025,200,head_direction,random_forest_regressor,16786,7195,,,,,,,,,,19.288908709209707,16.337150825645132,40.747620282617014,,,,,,,
sorted,counts,0.5,0.025,200,distance_to_wall,ridge,16786,7195,,,,,,0.7684168422902213,0.8776974389166956,,,,,,3.6950668266288327,4.742518254597697,,,,,
sorted,counts,0.5,0.025,200,distance_to_wall,random_forest_regressor,16786,7195,,,,,,0.8209025146128974,0.9074216375919157,,,,,,2.7285162137687196,4.17061662057705,,,,,
sorted,counts,0.5,0.025,200,spatial_context,logistic_regression,16786,7195,,,,,,,,,,,,,,,0.8069492703266157,0.7973524028573572,0.8055485270465922,"[[1096, 9, 229], [67, 3167, 471], [34, 579, 1543]]","['center', 'corner', 'wall']"
sorted,counts,0.5,0.025,200,spatial_context,random_forest_classifier,16786,7195,,,,,,,,,,,,,,,0.8724113968033357,0.8593753893711059,0.8669903449555942,"[[1193, 20, 121], [117, 3477, 111], [14, 535, 1607]]","['center', 'corner', 'wall']"
sorted,counts,0.5,0.025,200,movement_state,logistic_regression,16786,7195,,,,,,,,,,,,,,,0.5916608756080611,0.5297287939237109,0.4803457368110968,"[[2011, 861, 164], [1004, 2136, 725], [4, 180, 110]]","['fast', 'slow', 'still']"
sorted,counts,0.5,0.025,200,movement_state,random_forest_classifier,16786,7195,,,,,,,,,,,,,,,0.6744961779013203,0.4863235996912967,0.48858016413121547,"[[2211, 824, 1], [1213, 2627, 25], [7, 272, 15]]","['fast', 'slow', 'still']"
sorted,counts,0.5,0.025,200,wall_distance_bin,logistic_regression,16786,7195,,,,,,,,,,,,,,,0.878804725503822,0.7890358268665124,0.7885033286769519,"[[271, 118, 1], [134, 1298, 362], [6, 251, 4754]]","['center', 'middle', 'near_wall']"
sorted,counts,0.5,0.025,200,wall_distance_bin,random_forest_classifier,16786,7195,,,,,,,,,,,,,,,0.9064628214037526,0.8214796047728813,0.8598913944831746,"[[299, 91, 0], [21, 1274, 499], [0, 62, 4949]]","['center', 'middle', 'near_wall']"
sorted,counts,1.0,0.025,200,position,ridge,16772,7189,9.914431076275074,8.806160418430578,17.28751103785174,0.9410976335749007,0.9382079710925264,,,,,,,,,,,,,,
sorted,counts,1.0,0.025,200,position,random_forest_regressor,16772,7189,8.569970843618119,5.5744921769988,18.702974683141267,0.9092453950840533,0.9304540278478273,,,,,,,,,,,,,,
sorted,counts,1.0,0.025,200,speed,ridge,16772,7189,,,,,,0.13667455493615643,0.4877035042142034,3.7817416536371637,4.8153094881372756,,,,,,,,,,
sorted,counts,1.0,0.025,200,speed,random_forest_regressor,16772,7189,,,,,,0.2712323037949722,0.5410026140883138,3.562741375261185,4.424166790002202,,,,,,,,,,
sorted,counts,1.0,0.025,200,acceleration,ridge,16772,7189,,,,,,-0.009289836508582505,0.06704928846494246,35.25128772191646,57.033709896323295,,,,,,,,,,
